City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,ponta delgada,37.7333,-25.6667,16.4,94,{'all': 40},7.2,PT,1680133512
238,mehamn,71.0357,27.8492,-2.03,100,{'all': 100},9.77,NO,1680133514
239,marsa matruh,31.3525,27.2453,13.11,54,{'all': 40},5.14,EG,1680133515
240,provideniya,64.3833,-173.3,-0.94,74,{'all': 100},7.0,RU,1680133517
241,panaba,21.2833,-88.2667,27.52,60,{'all': 82},5.36,MX,1680133518
242,esil,51.9556,66.4042,-4.0,90,{'all': 70},5.39,KZ,1680133520
243,valdivia,-39.8142,-73.2459,11.05,81,{'all': 58},1.16,CL,1680133522
244,hai duong,20.9333,106.3167,19.0,85,{'all': 95},1.34,VN,1680133523
245,ust-omchug,61.15,149.6333,-7.8,89,{'all': 88},2.2,RU,1680133527
246,pangody,65.85,74.4859,-18.6,95,{'all': 90},6.53,RU,1680133528
247,makokou,0.5738,12.8642,19.71,98,{'all': 99},0.68,GA,1680133530
248,bongandanga,1.5,21.05,20.94,98,{'all': 97},0.38,CD,1680133531
249,tasiilaq,65.6145,-37.6368,-10.91,65,{'all': 3},2.53,GL,1680133532
250,quarai,-30.3875,-56.4514,23.4,82,{'all': 33},2.57,BR,1680133254
251,bethel,41.3712,-73.414,9.09,51,{'all': 88},0.89,US,1680133536
252,hokitika,-42.7167,170.9667,13.05,51,{'all': 0},2.74,NZ,1680133537
253,sioux lookout,50.1001,-91.917,-3.96,36,{'all': 40},5.66,CA,1680133307
254,sibu,2.3,111.8167,24.17,94,{'all': 40},0.0,MY,1680133544
255,karatau,43.1667,70.4667,13.15,65,{'all': 81},0.65,KZ,1680133545
256,coquimbo,-29.9533,-71.3436,16.85,88,{'all': 0},2.57,CL,1680133287
257,ballina,-28.8667,153.5667,25.99,61,{'all': 94},2.57,AU,1680133550
258,pangnirtung,66.1451,-65.7125,-18.0,78,{'all': 20},0.0,CA,1680133551
259,grand-lahou,5.1367,-5.0242,26.23,88,{'all': 99},1.52,CI,1680133552
260,wajid,3.8093,43.2471,26.66,67,{'all': 72},5.11,SO,1680133556
261,nikolskoye,59.7035,30.7861,-4.06,94,{'all': 98},2.61,RU,1680133557
262,volokolamsk,56.0336,35.9694,3.29,92,{'all': 100},3.5,RU,1680133559
263,byron bay,-28.65,153.6167,25.95,72,{'all': 98},2.36,AU,1680133435
264,dudinka,69.4058,86.1778,-25.09,99,{'all': 98},2.27,RU,1680133561
265,vigia,-0.8583,-48.1417,23.99,91,{'all': 100},3.1,BR,1680133562
